"#script","url","tags"
"sahi_demo.sah","index.htm","all,accessor"
"clicksTest.sah","clicks.htm","all,action"
"link_test.sah","index.htm","all,accessor"
"opener.sah","window_opener.htm","all"
"sahi_demo_frames.sah","framesTest.htm","all"
"blank.sah","index.htm","all"
"onchange.sah","onchange.htm","all"
"reset.sah","formTest.htm","all"
"if.sah","index.htm","all,programming"
"while.sah","index.htm","all,programming"
"alert.sah","alertTest.htm","all"
"modal.sah","showModal.htm","all"
"save_as.sah","http://sahipro.com/demo/","all,attachment"
"download_in_popup.sah","http://sahipro.com/demo/","all,attachment,popup"
"#zk_speed.sah","http://www.zkoss.org/zkdemo/userguide/","all,external"
"#google_search_dd.sah","https://www.google.co.in/","all,external"
"//extjs1.sah","http://www.extjs.com/deploy/dev/examples/feed-viewer/view.html","all,external"
"getwin_simple.sah","http://sahipro.com/demo/","all"
"getwin_popupWithTitle.sah","http://sahipro.com/demo/","all,popup"
"getwin_popupWithoutTitle.sah","http://sahipro.com/demo/","all,popup"
"getwin_popupWithParam.sah","http://sahipro.com/demo/","all"
"window_exists.sah","http://sahipro.com/demo/","all"
"get_recent_window.sah","http://sahipro.com/demo/","all"
"selectWindow2.sah","http://sahipro.com/demo/","all"

"#script","tags"
"testConfirm.sah","all"
"events.sah","all"
"areEqual.sah","all,small"
"toJson.sah","all"
"screenSize.sah","win,ie8"
"ie9ClickTest.sah","win,action"
"wait_long.sah","all,wait"
"verify_shorthands.sah","all"
"label.sah","all,small"
"table_cell.sah","all,small"
"confirm.sah","all"
"prompt.sah","all"
"popup_title.sah","win,popup"
"wait_for.sah","all"
"wait_for_with_reload.sah","all,wait"
"keypress.sah","all"
"execute.sah","all"
"set.sah","all"
"spandiv.sah","all"
"popup_title_name_mix.sah","all,popup"
"readfile.sah","all"
"readURL.sah","all"
"trycatch.sah","all"
"testXHRReadyStateOne.sah","all"
"in.sah","all"
"lookinside.sah","all"
"delayedLoadIframe.sah","all"
"window_opener_close.sah","all"
"doc_written_popup.sah","all,popup"
"headingsTest.sah","all"
"fileUpload.sah","all,attachment"
"#errorPages.sah","all"
"hidden.sah","all"
"//greek.sah","all"
"csv.sah","all"
"docWriteIFrame.sah","all"
"select.sah","all"
"textarea.sah","all"
"textbox.sah","all"
"table_2darray.sah","all"
"script_injection_test.sah","all"
"libTest.sah","all"
"is_visible.sah","all"
"map.sah","all"
"set_array.sah","all"
"language.sah","all"
"regexp.sah","all"
"RegExp_toString_Fix.sah","all"
"fetchAPIs.sah","all"
"browser.sah","all"
"//diffDomainExt.sah","all"
"204.sah","all"
"evalOnRhino.sah","all"
"under.sah","all"
"clickCombo.sah","all,small"
"onBeforeStep.sah","all"
"onAfterStep.sah","all"
"table_contents.sah","all"
"collect.sah","all"
"#sencha_combobox.sah","all"
"strict_visible.sah","all"
"close_window.sah","all"
"createSnapShot.sah","all"
"dragDrop.sah","all,dragDrop"
"dragDropXY.sah","all,dragDrop"
"#suiteInfo.sah","all"
"readExcelFileTests.sah","all"
"positionals.sah","all"
"assert_equal.sah","all"
"extract.sah","all"
"set_popup.sah","all,popup"
"window_name.sah","all"
"jsontest.sah","all"
"xhrstates.sah","all"
"close_open_browser.sah","all"
"screenshot.sah","win,screenshot"
"framework/sample.xls","all"
"includetest.sah","all"
"includeoncetest.sah","all"
"parser_test.sah","all"
"parser_fetch_with_function.sah","all"
"suiteinsidesuite/consolidated.suite","all"
"switch.sah","all"
"//multiBrowser.sah","all"
"verifyLayoutTest.sah","all"
"a1.sah","all"
"xml.sah","all"
"xmlns.sah","all"
"diffDomainsMultiIframes.sah","all"
"testFieldSet.sah","all"
"left_right_offsets.sah","all"
"mapDomainToIP.sah","all"
"collectAttributes.sah","all"
"trim.sah","all"
"basehref.sah","all"
"restAPIsUnitTests.sah","all"
"testRestAPIs.sah","all"
"testClassPath.sah","all"
"ignorecase.sah","all"
"testFileUtils.sah","all"
"testcase_with_functions.sah","all"
"testGetSelectionWithRTE.sah","all"
"testGetSelection.sah","all,ie8"
"create_document.sah","all"
"compare_images.sah","all"
"skip_screenshot.sah","all"
"assert_snap_shot.sah","win"
"pagescreenshot.sah","win"
"assert_log_images.sah","all"
